Industry,Location,Primary_AI_Tool,Daily_Token_Usage,Tasks_Automated_Per_Week,Experience_Years,Productivity_Gain_Percent
Retail,Brazil,GitHub Copilot,5590.0,14.0,7.0,65.8
Education,Canada,Jasper,83.0,9.0,5.0,46.73
Technology,India,Jasper,1380.0,8.0,0.0,54.42
Media,UK,TensorFlow,776.0,8.0,8.0,62.59
Education,Brazil,ChatGPT,204.0,10.0,2.0,50.33
Technology,Australia,Midjourney,244.0,16.0,4.0,69.46
,Australia,Midjourney,950.0,14.0,4.0,47.26
Media,Germany,GitHub Copilot,1277.0,11.0,0.0,52.66
Technology,Brazil,Midjourney,850.0,21.0,3.0,70.34
Finance,Japan,GitHub Copilot,612.0,8.0,7.0,57.9
Technology,Germany,GitHub Copilot,274.0,7.0,0.0,48.47
Technology,UK,Midjourney,946.0,9.0,3.0,65.11
Technology,Australia,Notion AI,1291.0,20.0,2.0,63.74
Retail,Brazil,ChatGPT,14721.0,9.0,0.0,51.25
Retail,Germany,Salesforce Einstein,863.0,9.0,2.0,51.29
Manufacturing,Japan,Notion AI,344.0,8.0,7.0,46.94
Technology,India,ChatGPT,2277.0,7.0,2.0,54.76
Technology,US,Tableau,450.0,13.0,5.0,57.44
Healthcare,Brazil,Midjourney,1172.0,16.0,7.0,69.88
Legal,Japan,TensorFlow,187.0,12.0,1.0,49.98
Legal,Australia,Midjourney,918.0,15.0,5.0,59.35
Finance,Japan,Notion AI,1812.0,6.0,0.0,50.59
Education,Australia,Notion AI,1898.0,12.0,8.0,56.68
Healthcare,India,,1838.0,12.0,1.0,59.7
Technology,Brazil,TensorFlow,223.0,12.0,2.0,58.71
Legal,Canada,ChatGPT,718.0,18.0,0.0,54.88
Retail,Germany,Salesforce Einstein,375.0,7.0,1.0,48.48
Retail,Germany,Notion AI,613.0,9.0,2.0,47.43
Technology,US,Tableau,766.0,13.0,4.0,58.49
Finance,Brazil,GitHub Copilot,301.0,14.0,2.0,60.37
Education,UK,Jasper,966.0,15.0,3.0,57.84
Media,Canada,,1752.0,,1.0,53.44
Manufacturing,Brazil,ChatGPT,773.0,13.0,3.0,50.59
Legal,Canada,Jasper,2920.0,18.0,4.0,60.17
Education,Germany,Jasper,628.0,15.0,6.0,67.1
Retail,Germany,TensorFlow,4491.0,7.0,2.0,53.37
Healthcare,Canada,Notion AI,588.0,9.0,1.0,47.04
Legal,US,Tableau,219.0,10.0,1.0,41.61
Media,India,ChatGPT,10465.0,11.0,0.0,57.22
Manufacturing,Canada,Midjourney,653.0,9.0,6.0,53.55
Manufacturing,Brazil,Jasper,624.0,22.0,0.0,52.59
Technology,Japan,TensorFlow,2745.0,7.0,1.0,59.32
Legal,Germany,Notion AI,323.0,15.0,3.0,52.27
Education,Brazil,TensorFlow,2302.0,19.0,5.0,65.41
Technology,Australia,Notion AI,193.0,14.0,3.0,61.53
Finance,Canada,Tableau,887.0,9.0,1.0,51.04
Manufacturing,Brazil,Tableau,1951.0,6.0,5.0,52.64
Finance,US,Tableau,457.0,9.0,1.0,56.58
Retail,UK,Midjourney,321.0,9.0,2.0,51.44
Media,UK,ChatGPT,371.0,10.0,2.0,54.26
Finance,Australia,ChatGPT,622.0,12.0,3.0,58.62
Manufacturing,Brazil,Tableau,167.0,15.0,6.0,54.12
Manufacturing,,Salesforce Einstein,1465.0,16.0,1.0,55.46
Finance,US,Tableau,283.0,17.0,3.0,57.16
Manufacturing,Australia,Tableau,615.0,15.0,2.0,48.98
Legal,US,Jasper,7533.0,16.0,3.0,58.66
Healthcare,Japan,ChatGPT,2400.0,11.0,4.0,59.92
Technology,Germany,ChatGPT,3842.0,13.0,6.0,76.41
Healthcare,Germany,Salesforce Einstein,9214.0,14.0,4.0,61.33
Manufacturing,Japan,ChatGPT,2825.0,9.0,4.0,51.12
Technology,US,Midjourney,,15.0,3.0,71.32
Legal,Japan,Midjourney,5742.0,15.0,,62.75
Technology,US,Notion AI,441.0,,5.0,56.08
Technology,Germany,Midjourney,168.0,8.0,0.0,49.12
Technology,India,Salesforce Einstein,842.0,20.0,5.0,70.13
Technology,Germany,Tableau,639.0,9.0,3.0,53.23
Healthcare,Brazil,Midjourney,1299.0,10.0,4.0,52.88
Healthcare,Australia,Midjourney,611.0,9.0,3.0,57.5
Healthcare,Australia,ChatGPT,869.0,6.0,0.0,46.54
Finance,Japan,Jasper,4767.0,14.0,7.0,71.46
Media,India,Notion AI,303.0,13.0,5.0,55.69
Healthcare,UK,Midjourney,422.0,14.0,5.0,60.09
Finance,UK,ChatGPT,3139.0,,0.0,57.87
Healthcare,Australia,Notion AI,368.0,10.0,1.0,41.76
Education,Brazil,Tableau,164.0,17.0,2.0,57.72
Retail,Japan,Jasper,963.0,10.0,4.0,45.88
Finance,India,Salesforce Einstein,165.0,17.0,4.0,59.94
Technology,Australia,Salesforce Einstein,358.0,10.0,5.0,63.6
Legal,Australia,Tableau,2164.0,12.0,0.0,47.86
Education,US,Notion AI,524.0,11.0,1.0,48.53
,India,Tableau,572.0,15.0,1.0,47.28
Healthcare,Japan,Tableau,2685.0,14.0,0.0,52.71
Education,Australia,ChatGPT,2381.0,12.0,5.0,61.29
Retail,Australia,Tableau,1463.0,8.0,0.0,40.52
Education,India,Jasper,78.0,11.0,2.0,49.18
Media,US,ChatGPT,3369.0,10.0,2.0,62.69
Technology,US,GitHub Copilot,541.0,15.0,9.0,66.26
Technology,Japan,Salesforce Einstein,350.0,10.0,6.0,63.16
Finance,UK,GitHub Copilot,604.0,9.0,2.0,53.88
Legal,India,TensorFlow,370.0,11.0,0.0,37.04
Retail,Brazil,Notion AI,296.0,14.0,0.0,44.97
Media,US,TensorFlow,3422.0,14.0,2.0,64.04
Technology,India,Salesforce Einstein,908.0,9.0,4.0,53.03
Legal,Australia,Salesforce Einstein,1177.0,8.0,8.0,64.12
Technology,Germany,Midjourney,1657.0,9.0,4.0,65.44
Technology,Australia,Midjourney,6146.0,13.0,3.0,67.63
Education,Germany,ChatGPT,427.0,20.0,1.0,59.29
Finance,Canada,Notion AI,3284.0,18.0,1.0,61.05
Healthcare,Japan,Midjourney,253.0,13.0,0.0,54.15
Manufacturing,Japan,Jasper,601.0,11.0,2.0,49.06
Healthcare,Japan,Salesforce Einstein,211.0,13.0,4.0,53.94
Legal,India,Notion AI,530.0,6.0,,44.35
Healthcare,Brazil,TensorFlow,47.0,14.0,0.0,43.46
Legal,India,Jasper,941.0,16.0,3.0,60.94
Finance,Germany,ChatGPT,1099.0,10.0,0.0,52.3
Finance,US,,120.0,12.0,0.0,48.57
Legal,Japan,Jasper,1802.0,13.0,0.0,52.08
Manufacturing,UK,Midjourney,919.0,16.0,2.0,63.98
Manufacturing,Germany,TensorFlow,1088.0,10.0,5.0,54.08
Education,UK,ChatGPT,908.0,8.0,,53.82
Education,Australia,Notion AI,409.0,17.0,2.0,56.91
Technology,US,Midjourney,546.0,17.0,1.0,61.15
Finance,Germany,Midjourney,77.0,21.0,0.0,54.6
Retail,Japan,GitHub Copilot,609.0,12.0,2.0,48.02
Healthcare,,Notion AI,621.0,14.0,4.0,63.58
Legal,Australia,Tableau,96.0,14.0,4.0,49.55
Finance,Australia,Salesforce Einstein,559.0,16.0,1.0,64.27
Healthcare,Australia,GitHub Copilot,694.0,13.0,0.0,58.41
Healthcare,UK,TensorFlow,979.0,13.0,0.0,52.28
Technology,UK,Jasper,239.0,15.0,3.0,60.9
Finance,UK,Jasper,821.0,13.0,0.0,46.02
Healthcare,India,TensorFlow,937.0,13.0,6.0,69.84
Technology,US,Midjourney,545.0,18.0,6.0,73.06
Manufacturing,Germany,Tableau,365.0,11.0,3.0,49.62
Healthcare,Brazil,Midjourney,1694.0,9.0,5.0,66.02
Media,UK,Jasper,2076.0,18.0,4.0,64.84
Education,India,Jasper,11105.0,18.0,0.0,58.88
Retail,Japan,Tableau,1462.0,18.0,2.0,56.43
Media,UK,Midjourney,3744.0,12.0,0.0,62.9
Education,UK,Notion AI,9756.0,16.0,1.0,56.81
Retail,,Jasper,1804.0,13.0,1.0,50.51
Finance,UK,TensorFlow,430.0,13.0,6.0,59.27
Technology,Brazil,Midjourney,1728.0,9.0,2.0,64.26
Retail,Australia,TensorFlow,995.0,8.0,4.0,50.48
Finance,UK,Salesforce Einstein,2016.0,9.0,0.0,
Media,India,Jasper,870.0,13.0,0.0,54.12
Manufacturing,Japan,Notion AI,1372.0,10.0,4.0,49.22
Finance,Australia,TensorFlow,1674.0,17.0,5.0,70.37
Technology,Germany,Jasper,826.0,12.0,3.0,58.75
Education,US,ChatGPT,332.0,17.0,5.0,61.67
Technology,,Notion AI,334.0,12.0,2.0,57.98
Technology,Japan,Tableau,137.0,15.0,3.0,55.51
Education,Brazil,GitHub Copilot,3357.0,13.0,1.0,57.36
Technology,Australia,Notion AI,242.0,7.0,4.0,52.84
Manufacturing,US,Tableau,194.0,18.0,0.0,44.29
Manufacturing,India,ChatGPT,92.0,18.0,3.0,57.97
Technology,US,Salesforce Einstein,1657.0,11.0,0.0,56.23
,India,Tableau,2200.0,12.0,,56.05
Retail,Canada,Salesforce Einstein,501.0,5.0,1.0,47.1
Healthcare,India,Tableau,156.0,10.0,0.0,50.44
Finance,India,Midjourney,1624.0,19.0,8.0,67.81
Media,UK,ChatGPT,1932.0,15.0,9.0,68.73
Healthcare,Canada,Salesforce Einstein,702.0,,3.0,57.13
Manufacturing,India,Notion AI,12538.0,12.0,0.0,50.24
Manufacturing,Japan,Salesforce Einstein,285.0,15.0,0.0,50.09
Legal,Canada,Jasper,1411.0,13.0,3.0,51.71
Manufacturing,India,Salesforce Einstein,6602.0,10.0,0.0,55.85
Finance,UK,Jasper,2835.0,13.0,3.0,60.48
Media,Brazil,Salesforce Einstein,963.0,13.0,1.0,52.14
Manufacturing,Australia,TensorFlow,1392.0,6.0,3.0,54.65
Technology,Japan,Jasper,144.0,10.0,4.0,57.63
Finance,US,Jasper,1961.0,10.0,0.0,46.06
Manufacturing,Canada,ChatGPT,1247.0,7.0,5.0,52.63
Healthcare,UK,ChatGPT,4467.0,10.0,0.0,62.76
Education,Canada,Tableau,404.0,12.0,7.0,58.2
Technology,Japan,ChatGPT,2326.0,12.0,0.0,66.24
Education,UK,Jasper,1412.0,2.0,5.0,46.66
Technology,Australia,Salesforce Einstein,452.0,13.0,3.0,56.65
Technology,India,Midjourney,1201.0,13.0,2.0,64.18
Manufacturing,US,ChatGPT,2553.0,13.0,0.0,56.17
Finance,Germany,Tableau,67.0,11.0,0.0,46.79
Legal,Brazil,Tableau,4282.0,6.0,5.0,56.27
Healthcare,Germany,Midjourney,2664.0,7.0,6.0,55.15
Finance,Japan,GitHub Copilot,2379.0,12.0,7.0,60.13
Manufacturing,Canada,TensorFlow,3239.0,9.0,2.0,58.84
Manufacturing,Australia,,876.0,9.0,4.0,54.31
Legal,Germany,Jasper,674.0,18.0,5.0,58.79
Legal,US,Jasper,3095.0,14.0,1.0,
Retail,Japan,Jasper,847.0,15.0,0.0,59.05
Finance,India,ChatGPT,555.0,8.0,5.0,53.62
Manufacturing,Japan,Midjourney,6981.0,13.0,3.0,67.86
,Brazil,TensorFlow,2530.0,13.0,8.0,64.61
Legal,Brazil,TensorFlow,211.0,7.0,3.0,44.43
Legal,India,ChatGPT,406.0,4.0,5.0,50.59
Manufacturing,Germany,Notion AI,1491.0,9.0,5.0,53.42
Finance,US,ChatGPT,309.0,7.0,1.0,50.62
Media,UK,Tableau,416.0,10.0,7.0,58.61
Legal,India,Tableau,200.0,4.0,8.0,45.99
Retail,Canada,TensorFlow,18710.0,12.0,2.0,57.78
Healthcare,Japan,GitHub Copilot,990.0,12.0,3.0,56.05
Healthcare,Brazil,Tableau,707.0,15.0,0.0,51.8
Healthcare,Australia,Notion AI,154.0,10.0,3.0,45.96
Manufacturing,UK,Jasper,138.0,16.0,6.0,55.96
Education,US,Tableau,515.0,12.0,4.0,52.01
Legal,US,Notion AI,956.0,12.0,3.0,44.91
Media,UK,ChatGPT,20644.0,10.0,4.0,71.69
Manufacturing,Canada,Tableau,1462.0,13.0,7.0,57.12
Manufacturing,US,Jasper,704.0,11.0,0.0,46.62
Legal,US,Tableau,335.0,18.0,3.0,56.25
Media,Japan,Jasper,696.0,7.0,1.0,53.54
Education,Japan,TensorFlow,953.0,12.0,3.0,61.28
Media,Canada,Midjourney,428.0,9.0,1.0,51.03
Technology,Australia,Salesforce Einstein,2822.0,11.0,0.0,60.49
Manufacturing,Canada,Midjourney,807.0,12.0,6.0,57.49
Retail,Japan,Tableau,3386.0,8.0,3.0,46.02
Healthcare,Canada,TensorFlow,4204.0,9.0,1.0,55.13
Media,Brazil,ChatGPT,6900.0,7.0,4.0,60.73
Education,Germany,ChatGPT,3088.0,17.0,8.0,63.68
Media,Canada,Jasper,482.0,13.0,1.0,55.32
Finance,Germany,Midjourney,709.0,10.0,4.0,62.32
Media,Canada,Tableau,2214.0,11.0,5.0,57.86
Legal,Canada,ChatGPT,6416.0,8.0,6.0,53.63
Finance,Australia,Midjourney,290.0,7.0,0.0,52.7
Legal,Germany,Salesforce Einstein,94.0,18.0,5.0,56.44
Healthcare,Australia,ChatGPT,533.0,18.0,0.0,57.31
Technology,Japan,GitHub Copilot,2023.0,14.0,3.0,64.44
Finance,Germany,GitHub Copilot,4570.0,11.0,6.0,67.45
Retail,Australia,GitHub Copilot,801.0,15.0,6.0,65.7
Education,Germany,GitHub Copilot,244.0,11.0,3.0,53.74
Legal,Australia,Notion AI,1051.0,7.0,3.0,43.29
Finance,Canada,Salesforce Einstein,441.0,13.0,1.0,51.66
Technology,Brazil,Midjourney,1171.0,12.0,3.0,63.55
Legal,Germany,Midjourney,595.0,10.0,0.0,56.26
Media,Canada,Salesforce Einstein,1798.0,18.0,3.0,65.08
Media,US,Jasper,333.0,12.0,0.0,50.23
Legal,India,Salesforce Einstein,904.0,9.0,4.0,50.22
Healthcare,India,Jasper,6848.0,4.0,2.0,52.27
Manufacturing,Brazil,ChatGPT,3349.0,20.0,0.0,61.22
Healthcare,Australia,Notion AI,1353.0,14.0,4.0,61.06
Finance,Japan,Notion AI,1625.0,12.0,4.0,59.5
Retail,US,Notion AI,2263.0,11.0,4.0,55.46
Technology,Japan,ChatGPT,84.0,12.0,0.0,51.44
Finance,Australia,GitHub Copilot,1162.0,10.0,4.0,57.65
Retail,Canada,Tableau,569.0,23.0,3.0,57.3
Retail,Australia,Jasper,154.0,16.0,0.0,41.92
Healthcare,Japan,Midjourney,234.0,11.0,2.0,54.57
Manufacturing,UK,TensorFlow,2445.0,9.0,6.0,58.82
Legal,Australia,Notion AI,345.0,5.0,5.0,47.95
Legal,Germany,Notion AI,2090.0,14.0,2.0,46.77
Manufacturing,Japan,GitHub Copilot,967.0,13.0,3.0,51.63
Retail,Japan,Jasper,798.0,10.0,2.0,54.88
Education,US,Midjourney,1104.0,10.0,3.0,53.61
Technology,India,Midjourney,1759.0,6.0,1.0,56.84
Manufacturing,Japan,Salesforce Einstein,2834.0,16.0,6.0,
Legal,India,,703.0,12.0,5.0,60.81
Legal,US,Midjourney,2303.0,9.0,8.0,65.0
Legal,India,Salesforce Einstein,4960.0,3.0,3.0,50.46
Healthcare,Brazil,TensorFlow,941.0,10.0,0.0,48.57
Technology,,Tableau,137.0,14.0,5.0,54.27
Retail,India,GitHub Copilot,875.0,16.0,1.0,54.83
Legal,,Notion AI,831.0,16.0,6.0,55.51
,Canada,TensorFlow,1053.0,13.0,1.0,54.51
Finance,Japan,Midjourney,1843.0,12.0,3.0,63.73
Finance,Japan,Notion AI,269.0,7.0,2.0,52.62
Education,UK,TensorFlow,566.0,13.0,4.0,59.93
Education,Brazil,Salesforce Einstein,12494.0,6.0,3.0,54.3
Technology,India,Jasper,1677.0,22.0,3.0,67.15
Manufacturing,US,TensorFlow,143.0,13.0,5.0,51.74
Finance,UK,Midjourney,2484.0,12.0,4.0,
Finance,Australia,Midjourney,941.0,14.0,1.0,59.88
Retail,UK,GitHub Copilot,228.0,14.0,2.0,58.82
Media,Brazil,Notion AI,242.0,16.0,2.0,55.13
Retail,Canada,Notion AI,2872.0,11.0,6.0,65.44
Technology,US,Salesforce Einstein,609.0,17.0,2.0,65.5
Retail,Japan,Jasper,339.0,12.0,3.0,43.57
Manufacturing,Australia,GitHub Copilot,5116.0,11.0,0.0,60.15
Manufacturing,Germany,GitHub Copilot,1788.0,11.0,4.0,58.68
Legal,India,Jasper,1841.0,11.0,2.0,49.0
Retail,Brazil,ChatGPT,732.0,16.0,3.0,56.2
Media,Brazil,Jasper,11279.0,13.0,5.0,71.89
Technology,Brazil,Tableau,1295.0,12.0,1.0,58.32
Finance,Canada,Midjourney,225.0,14.0,6.0,64.8
Legal,India,GitHub Copilot,660.0,11.0,4.0,53.57
Healthcare,Australia,Midjourney,796.0,10.0,0.0,55.37
Education,Brazil,Jasper,1175.0,11.0,0.0,58.44
Finance,US,Salesforce Einstein,490.0,13.0,0.0,57.1
Legal,Canada,Jasper,1849.0,19.0,5.0,65.08
Finance,Canada,GitHub Copilot,14496.0,13.0,4.0,69.54
Healthcare,India,GitHub Copilot,2477.0,11.0,0.0,64.64
Media,Brazil,TensorFlow,75.0,9.0,2.0,51.99
Education,India,Tableau,4281.0,9.0,2.0,55.57
Legal,India,Jasper,284.0,10.0,5.0,43.32
Legal,US,Tableau,56.0,15.0,4.0,45.37
Legal,India,Notion AI,430.0,14.0,3.0,52.42
Legal,US,Tableau,12513.0,13.0,8.0,58.7
Retail,Japan,GitHub Copilot,,10.0,1.0,53.03
Finance,Canada,ChatGPT,743.0,15.0,3.0,57.65
Retail,Germany,Tableau,1046.0,9.0,0.0,42.25
Technology,UK,TensorFlow,895.0,13.0,2.0,66.36
Technology,Japan,Midjourney,80.0,15.0,3.0,58.61
Education,Japan,TensorFlow,508.0,13.0,1.0,47.6
Healthcare,Germany,ChatGPT,18134.0,17.0,0.0,60.78
Education,Brazil,GitHub Copilot,233.0,12.0,5.0,52.65
Healthcare,Brazil,Notion AI,277.0,9.0,0.0,46.27
Finance,Australia,Midjourney,3171.0,13.0,6.0,64.32
Finance,India,Tableau,1635.0,13.0,2.0,59.77
Manufacturing,Japan,Tableau,867.0,17.0,5.0,61.87
Finance,UK,Midjourney,659.0,12.0,0.0,65.89
Manufacturing,US,ChatGPT,3039.0,7.0,4.0,50.12
Media,UK,TensorFlow,316.0,17.0,9.0,64.57
Technology,Australia,TensorFlow,1624.0,16.0,8.0,74.81
Healthcare,US,ChatGPT,564.0,15.0,7.0,67.26
Media,India,Midjourney,1086.0,17.0,6.0,75.09
Retail,Australia,TensorFlow,176.0,12.0,4.0,46.47
Healthcare,UK,TensorFlow,44.0,15.0,2.0,55.38
Manufacturing,US,Salesforce Einstein,3293.0,10.0,3.0,52.11
Technology,Canada,Notion AI,376.0,7.0,0.0,46.3
Legal,Japan,Notion AI,750.0,12.0,7.0,63.65
Retail,India,Tableau,668.0,12.0,3.0,
Legal,US,Jasper,66.0,21.0,2.0,47.55
Retail,Canada,,1149.0,11.0,3.0,55.8
Healthcare,Australia,Tableau,51.0,12.0,2.0,45.33
Healthcare,Canada,Notion AI,1741.0,15.0,3.0,57.87
Retail,UK,GitHub Copilot,353.0,14.0,2.0,55.86
Media,Brazil,ChatGPT,3208.0,11.0,4.0,59.17
Media,Germany,Midjourney,112.0,17.0,6.0,64.52
Finance,UK,TensorFlow,465.0,10.0,4.0,54.83
Healthcare,UK,TensorFlow,286.0,16.0,2.0,56.11
Technology,US,,390.0,16.0,1.0,64.38
Manufacturing,Japan,,4291.0,7.0,0.0,54.71
Legal,India,Jasper,2065.0,10.0,3.0,53.51
Education,US,GitHub Copilot,1993.0,10.0,0.0,58.35
Technology,Brazil,Jasper,435.0,12.0,0.0,57.48
Healthcare,US,Midjourney,1617.0,12.0,8.0,64.6
Finance,Canada,Notion AI,3677.0,6.0,3.0,54.93
Legal,Japan,Jasper,2233.0,12.0,0.0,51.56
Education,Canada,Salesforce Einstein,812.0,17.0,10.0,71.79
Retail,US,Tableau,580.0,10.0,3.0,42.72
Legal,Brazil,ChatGPT,74.0,10.0,4.0,43.13
Media,Japan,Salesforce Einstein,537.0,11.0,3.0,60.19
Manufacturing,Australia,TensorFlow,1032.0,7.0,7.0,57.08
Manufacturing,Canada,TensorFlow,1535.0,14.0,1.0,49.99
Media,UK,Tableau,5021.0,12.0,0.0,57.99
Finance,Germany,Jasper,1002.0,17.0,4.0,66.67
Finance,Australia,Midjourney,2158.0,14.0,3.0,63.53
Healthcare,Brazil,Jasper,2321.0,15.0,3.0,56.14
Legal,Germany,GitHub Copilot,274.0,8.0,1.0,48.14
Healthcare,Brazil,ChatGPT,11729.0,13.0,1.0,64.0
Manufacturing,Canada,Midjourney,651.0,17.0,0.0,58.31
Retail,Brazil,Jasper,,7.0,3.0,49.37
Legal,Canada,Notion AI,25307.0,14.0,0.0,51.71
Technology,Canada,Jasper,1898.0,9.0,4.0,50.32
Finance,Canada,TensorFlow,753.0,4.0,1.0,50.77
Media,US,GitHub Copilot,2039.0,17.0,1.0,74.12
Technology,US,Midjourney,2479.0,14.0,10.0,75.78
Healthcare,Japan,ChatGPT,122.0,9.0,4.0,45.09
Education,UK,Salesforce Einstein,749.0,6.0,5.0,52.48
Finance,Australia,Jasper,939.0,11.0,2.0,57.6
Education,UK,Tableau,3951.0,16.0,5.0,65.0
Healthcare,Australia,Salesforce Einstein,773.0,10.0,5.0,57.85
Legal,UK,TensorFlow,905.0,16.0,5.0,51.64
Legal,Australia,Tableau,1796.0,13.0,2.0,45.38
Manufacturing,US,Salesforce Einstein,7296.0,11.0,3.0,50.18
Finance,Japan,Notion AI,250.0,15.0,5.0,58.84
Finance,Germany,Salesforce Einstein,2985.0,11.0,0.0,49.62
Media,Japan,Midjourney,259.0,10.0,5.0,62.41
Technology,Australia,Tableau,12245.0,15.0,8.0,72.37
Manufacturing,,Salesforce Einstein,151.0,10.0,3.0,43.73
Media,US,GitHub Copilot,890.0,7.0,1.0,54.23
Technology,India,ChatGPT,314.0,17.0,3.0,57.74
Retail,Germany,ChatGPT,6118.0,17.0,1.0,66.16
Manufacturing,US,Notion AI,363.0,16.0,2.0,52.58
Healthcare,US,Notion AI,942.0,6.0,2.0,43.27
Retail,US,TensorFlow,1399.0,12.0,5.0,53.7
Media,US,Salesforce Einstein,2531.0,15.0,2.0,65.18
Manufacturing,Brazil,Jasper,5459.0,7.0,4.0,59.01
Education,US,Jasper,1192.0,16.0,1.0,57.2
Technology,Canada,Tableau,285.0,10.0,0.0,46.61
Media,US,GitHub Copilot,52.0,5.0,4.0,45.89
Healthcare,Brazil,Jasper,1931.0,13.0,2.0,56.52
Finance,Brazil,Salesforce Einstein,195.0,19.0,4.0,58.26
Media,Germany,ChatGPT,1037.0,18.0,2.0,57.16
Retail,Japan,GitHub Copilot,1249.0,16.0,5.0,67.07
Media,UK,Notion AI,778.0,8.0,2.0,56.13
Technology,US,Jasper,603.0,12.0,0.0,65.07
Technology,Canada,TensorFlow,400.0,11.0,2.0,55.84
,Canada,ChatGPT,946.0,15.0,1.0,51.9
Healthcare,US,Salesforce Einstein,3731.0,8.0,2.0,56.31
Education,Australia,Salesforce Einstein,1183.0,14.0,4.0,57.12
Technology,US,Salesforce Einstein,175.0,14.0,0.0,58.19
Legal,Australia,Midjourney,549.0,11.0,4.0,57.24
Education,Canada,Salesforce Einstein,2229.0,13.0,4.0,57.27
Healthcare,Canada,Salesforce Einstein,143.0,14.0,3.0,48.88
Retail,India,Notion AI,955.0,10.0,6.0,45.76
Finance,Australia,Tableau,430.0,12.0,3.0,45.69
Healthcare,Japan,ChatGPT,2067.0,14.0,5.0,56.87
Education,Canada,Salesforce Einstein,2101.0,12.0,2.0,52.67
Healthcare,US,Notion AI,3130.0,8.0,4.0,49.78
Legal,UK,ChatGPT,199.0,17.0,6.0,61.38
Finance,India,Tableau,1097.0,10.0,1.0,55.85
Education,Brazil,Tableau,931.0,14.0,7.0,60.98
Media,India,Salesforce Einstein,2676.0,13.0,2.0,63.16
Manufacturing,US,Midjourney,710.0,5.0,3.0,48.0
Retail,Japan,ChatGPT,4461.0,14.0,3.0,56.25
Healthcare,Brazil,Midjourney,3850.0,14.0,1.0,67.36
Retail,Canada,GitHub Copilot,562.0,10.0,4.0,58.58
Finance,Germany,Jasper,5041.0,11.0,0.0,51.88
Manufacturing,US,TensorFlow,668.0,13.0,8.0,57.42
Education,US,Salesforce Einstein,2043.0,15.0,5.0,61.68
Technology,Australia,Midjourney,1035.0,11.0,5.0,66.89
Media,Brazil,Salesforce Einstein,843.0,11.0,4.0,64.74
Legal,US,ChatGPT,1974.0,13.0,0.0,52.67
,Brazil,,282.0,10.0,4.0,59.77
Media,Canada,TensorFlow,2336.0,11.0,1.0,62.13
Retail,Japan,Notion AI,1542.0,17.0,2.0,60.05
Media,Japan,GitHub Copilot,11441.0,,4.0,81.28
Education,Brazil,Tableau,788.0,7.0,1.0,42.97
Media,Germany,Salesforce Einstein,637.0,6.0,4.0,55.71
Manufacturing,Australia,Midjourney,828.0,17.0,5.0,59.05
Manufacturing,Australia,Midjourney,3274.0,11.0,3.0,58.46
Technology,Germany,Salesforce Einstein,454.0,11.0,2.0,54.55
Technology,US,ChatGPT,812.0,12.0,9.0,73.45
Manufacturing,Australia,Midjourney,608.0,15.0,1.0,48.37
Education,UK,Tableau,4921.0,9.0,1.0,55.27
Education,India,Tableau,682.0,12.0,1.0,51.4
Healthcare,India,Salesforce Einstein,1739.0,15.0,5.0,59.61
Legal,Germany,Salesforce Einstein,3586.0,,0.0,46.1
Education,India,Jasper,335.0,15.0,1.0,60.79
Legal,US,Salesforce Einstein,429.0,15.0,1.0,46.46
Technology,Canada,GitHub Copilot,1291.0,7.0,6.0,54.03
Finance,Canada,Salesforce Einstein,501.0,13.0,2.0,52.03
Finance,India,Salesforce Einstein,69.0,15.0,0.0,54.03
Legal,UK,Notion AI,997.0,12.0,3.0,47.42
Retail,Germany,Midjourney,2037.0,9.0,4.0,56.61
Media,Canada,Notion AI,969.0,14.0,2.0,59.95
Manufacturing,Japan,Tableau,2245.0,8.0,5.0,47.32
Technology,Japan,Notion AI,213.0,19.0,5.0,73.18
Media,UK,Tableau,395.0,9.0,1.0,52.7
,Germany,Tableau,813.0,14.0,8.0,55.76
Media,Japan,ChatGPT,199.0,10.0,0.0,55.23
Retail,India,TensorFlow,2313.0,8.0,3.0,54.72
Legal,Brazil,Midjourney,116.0,13.0,6.0,53.79
Manufacturing,Japan,ChatGPT,757.0,15.0,1.0,58.39
Retail,Australia,Salesforce Einstein,4303.0,13.0,2.0,53.28
Media,UK,Tableau,1365.0,15.0,6.0,66.51
Education,India,Jasper,962.0,13.0,2.0,56.51
Media,India,Jasper,2722.0,16.0,5.0,68.41
Technology,Australia,,719.0,20.0,4.0,67.73
Education,Brazil,Notion AI,892.0,12.0,0.0,48.02
Technology,Germany,ChatGPT,3970.0,21.0,8.0,80.94
Legal,US,ChatGPT,1889.0,13.0,0.0,52.86
Legal,UK,Notion AI,5503.0,10.0,0.0,47.01
Technology,India,Notion AI,220.0,12.0,2.0,54.0
Finance,Brazil,GitHub Copilot,848.0,19.0,1.0,58.44
Finance,Japan,Jasper,4063.0,9.0,3.0,57.75
Media,UK,ChatGPT,581.0,16.0,1.0,59.71
Finance,India,Midjourney,1278.0,10.0,4.0,65.22
Education,UK,Tableau,762.0,11.0,3.0,49.35
Legal,US,Salesforce Einstein,198.0,17.0,5.0,53.35
Education,Japan,Midjourney,1027.0,8.0,5.0,59.91
Retail,Germany,Notion AI,2098.0,10.0,4.0,52.53
Education,UK,TensorFlow,302.0,9.0,0.0,45.46
Retail,Brazil,ChatGPT,966.0,11.0,5.0,62.5
